A-LE-LE-LE-LE-LE | Cuvinte : 1 | Vocale : 5
A-LE-LE-LE-LE-LE | Cuvinte : 1 | Vocale : 5
A-le-lei-la, a le-le-lei-la | Cuvinte : 3 | Vocale : 10
În costum elegant, la cravată | Cuvinte : 5 | Vocale : 8
Mă îmbrac, mă pun, plec la paradă | Cuvinte : 7 | Vocale : 6
Să ai haz și talent e o artă | Cuvinte : 8 | Vocale : 9
Nu se-nvață, nu s-arată | Cuvinte : 4 | Vocale : 6
Ai talent, haina nu mai contează (adevărat) | Cuvinte : 7 | Vocale : 15
Ai secunda, mereu ești pe fază | Cuvinte : 6 | Vocale : 11
Să ai haz și talent e o artă | Cuvinte : 8 | Vocale : 9
Nu se-nvață, nu s-arată | Cuvinte : 4 | Vocale : 6
Pun pe mine un costum | Cuvinte : 5 | Vocale : 7
Știu să-l asortez | Cuvinte : 3 | Vocale : 5
Cu cel mai tare parfum | Cuvinte : 5 | Vocale : 8
D-aia am succes | Cuvinte : 3 | Vocale : 6
Mă întreabă lumea cu ce parfum mă dau mereu * | Cuvinte : 9 | Vocale : 14
E mult, e greu, e mult, e greu * | Cuvinte : 8 | Vocale : 9
Da' nu e parfum, ăsta e miru' meu * | Cuvinte : 8 | Vocale : 11
E mult, e greu, e mult, e greu * | Cuvinte : 8 | Vocale : 9
De la mama, de la tata | Cuvinte : 6 | Vocale : 8
D-acolo e talentu' meu * | Cuvinte : 4 | Vocale : 9
Dar și de la, de la Dumnezeu * | Cuvinte : 7 | Vocale : 10
D-acolo e talentu' meu * | Cuvinte : 4 | Vocale : 9
Sunt puțin diferit iertisarma, huh | Cuvinte : 5 | Vocale : 12
Nu îmi place nici Gucci, nici Prada | Cuvinte : 7 | Vocale : 12
DE COPIL ȘTIU SĂ-MI FAC MESERIA | Cuvinte : 6 | Vocale : 11
De la tata am mândria (haide, bă) | Cuvinte : 7 | Vocale : 10
Okay-okay-okay, I ain't workin' for no check | Cuvinte : 7 | Vocale : 12
Pretty ladies in the front, go ahead and get your mans, ayy | Cuvinte : 12 | Vocale : 17
Okay-okay-okay, I ain't workin' for no mans | Cuvinte : 7 | Vocale : 12
I need my brothers out the gut, I need them roader on my neck, ayy | Cuvinte : 15 | Vocale : 17
Pun pe mine un costum | Cuvinte : 5 | Vocale : 7
Știu să-l asortez | Cuvinte : 3 | Vocale : 5
CU CEL MAI TARE PARFUM | Cuvinte : 5 | Vocale : 8
D-aia am succes | Cuvinte : 3 | Vocale : 6
Mă întreabă lumea cu ce parfum mă dau mereu * | Cuvinte : 9 | Vocale : 14
E mult, e greu, e mult, e greu * | Cuvinte : 8 | Vocale : 9
Da' nu e parfum, ăsta e miru' meu * | Cuvinte : 8 | Vocale : 11
E mult, e greu, e mult, e greu * | Cuvinte : 8 | Vocale : 9
De la mama, de la tata | Cuvinte : 6 | Vocale : 8
D-acolo e talentu' meu * | Cuvinte : 4 | Vocale : 9
DAR ȘI DE LA, DE LA DUMNEZEU * | Cuvinte : 7 | Vocale : 10
D-acolo e talentu' meu * | Cuvinte : 4 | Vocale : 9
